temperature,ph,color_score,quality
81.85,5.3,9.2,excellent
87.65,5.53,6.34,excellent
86.7,4.92,9.91,excellent
86.64,4.94,5.69,average
81.14,5.68,7.37,good
83.89,5.74,3.05,average
85.22,5.91,4.47,average
84.38,4.87,1.69,bad
91.36,5.68,8.4,excellent
83.5,6.33,8.85,average
82.42,5.24,2.76,bad
93.38,5.24,9.0,excellent
87.28,5.7,3.84,good
82.18,5.6,5.08,good
87.21,6.35,7.03,average
82.74,6.12,7.67,average
85.37,5.66,9.07,excellent
90.97,4.58,1.93,bad
100.79,5.04,5.37,excellent
79.16,5.21,7.81,good
79.31,5.34,6.95,good
88.63,5.67,4.4,good
80.16,4.64,8.85,average
84.29,5.26,9.92,excellent
78.94,5.68,4.94,average
88.11,6.5,3.9,bad
89.25,6.39,7.13,average
83.5,5.65,8.3,excellent
88.55,5.08,8.78,excellent
84.52,5.1,3.16,average
86.19,5.8,2.6,average
81.83,5.34,1.79,bad
78.39,5.22,9.63,excellent
82.07,5.85,1.2,bad
79.05,5.73,7.77,good
83.46,5.65,4.31,average
82.37,5.5,6.57,excellent
79.18,5.65,2.61,bad
85.17,6.03,6.64,good
84.96,6.56,2.28,bad
86.71,5.55,2.32,average
88.52,5.98,1.51,bad
85.14,4.82,4.4,bad
80.75,5.65,2.78,average
80.37,5.01,3.01,bad
79.03,6.12,3.92,bad
92.62,5.15,6.22,excellent
84.87,5.46,3.54,good
82.11,6.04,8.66,good
86.08,5.11,3.62,average
85.8,6.46,9.89,good
88.45,5.47,4.39,good
85.31,5.46,9.71,excellent
92.49,6.07,9.62,excellent
84.04,5.36,4.91,good
76.27,5.89,2.8,bad
92.11,5.19,2.19,average
85.54,4.58,5.57,bad
84.36,6.47,6.18,bad
79.66,5.56,7.26,good
89.72,5.33,9.5,excellent
82.04,5.18,2.06,bad
80.84,6.2,8.27,average
83.85,5.86,6.36,good
82.3,5.61,7.13,excellent
85.07,5.42,9.15,excellent
91.52,5.35,6.3,excellent
82.7,5.91,8.52,good
88.43,5.25,5.48,good
79.93,4.95,8.11,average
88.23,5.23,5.27,good
90.61,6.27,2.95,bad
76.38,5.53,3.6,average
78.3,5.81,9.07,good
87.58,5.45,4.88,excellent
79.59,6.03,9.56,good
90.45,5.49,1.51,good
85.92,5.65,8.28,excellent
86.18,5.4,2.24,average
75.84,5.29,8.9,good
85.7,5.31,8.86,excellent
87.47,5.31,6.53,excellent
93.04,5.89,7.87,excellent
80.92,5.95,2.9,bad
80.75,6.24,8.25,average
86.73,5.07,1.55,bad
77.47,5.56,6.12,good
93.79,4.93,2.87,average
85.73,5.16,1.85,bad
78.53,5.74,3.87,bad
84.24,5.63,8.12,excellent
94.59,4.97,5.13,good
83.5,5.46,1.52,average
74.43,5.99,2.01,bad
90.54,6.5,1.51,bad
79.79,5.07,9.18,good
81.97,5.38,9.7,excellent
81.38,6.04,8.46,good
87.37,6.21,4.26,average
86.97,5.39,1.67,average
93.75,5.25,8.24,excellent
82.71,5.83,6.55,good
86.87,4.78,1.24,bad
83.19,5.41,8.16,excellent
83.55,5.78,3.72,average
87.81,4.77,4.93,average
90.01,5.65,7.46,excellent
93.61,5.8,2.68,good
88.13,3.57,1.86,bad
83.52,4.73,9.89,good
87.36,5.48,9.16,excellent
84.34,6.06,3.53,bad
85.16,6.0,4.44,average
87.86,5.44,7.92,excellent
73.52,5.47,5.61,average
84.42,5.36,4.19,good
77.35,5.26,8.74,good
88.62,6.1,3.82,average
80.41,5.64,5.07,average
82.56,5.38,5.71,good
85.09,5.88,2.49,bad
87.44,5.35,8.2,excellent
83.4,5.9,9.36,excellent
85.47,4.77,6.74,average
83.5,5.2,2.57,bad
83.08,4.86,9.7,good
88.74,6.44,3.07,bad
86.74,5.57,1.79,average
80.88,5.64,9.92,excellent
94.15,5.49,6.87,excellent
85.73,5.55,7.07,excellent
87.18,5.27,7.98,excellent
85.86,5.48,5.43,excellent
83.33,4.88,1.56,bad
75.43,5.84,4.59,bad
81.73,4.0,8.35,bad
76.66,5.79,8.99,good
84.51,5.11,3.05,average
86.91,5.88,5.61,good
81.34,5.17,7.35,good
80.62,5.44,8.02,excellent
84.78,5.93,6.77,good
87.56,5.64,8.45,excellent
84.92,6.14,1.71,bad
83.79,5.85,6.92,good
83.01,6.32,1.54,bad
86.22,6.64,7.48,average
98.96,4.9,3.57,good
84.57,5.47,3.12,average
88.24,5.2,8.2,excellent
96.94,5.39,7.84,excellent
83.88,5.77,4.8,average
79.49,5.87,2.05,bad
81.59,5.29,3.09,average
85.38,4.63,7.24,average
86.55,5.29,3.98,good
83.0,6.21,7.5,average
88.51,5.31,8.48,excellent
81.66,6.39,1.7,bad
75.78,5.88,1.25,bad
87.58,5.51,2.07,good
94.91,5.43,1.05,good
79.68,5.12,8.85,good
85.09,5.3,9.25,excellent
80.96,5.2,3.48,bad
84.43,4.75,2.36,bad
84.94,5.93,7.42,good
81.61,4.88,4.99,bad
84.43,5.69,9.3,excellent
79.4,5.33,3.9,average
74.67,5.52,3.54,bad
89.46,5.93,2.74,average
81.46,6.11,6.44,average
80.86,5.35,2.18,bad
81.95,5.47,8.59,excellent
88.56,5.5,1.15,average
83.03,6.05,6.07,average
83.28,5.67,1.8,bad
91.28,5.18,7.66,excellent
86.95,6.76,8.29,average
92.58,4.97,1.16,bad
95.72,4.75,8.01,excellent
85.17,5.57,2.0,average
89.46,5.41,3.97,good
81.82,5.15,8.37,good
84.75,4.86,8.17,good
75.8,5.3,9.01,good
84.35,4.12,4.24,bad
85.3,5.64,8.47,excellent
83.28,5.62,7.07,excellent
93.74,5.0,2.21,average
85.1,5.05,2.82,bad
87.78,4.49,2.1,bad
85.24,5.03,4.11,average
86.41,4.9,6.59,good
85.17,5.43,6.67,excellent
83.27,5.49,4.73,good
95.73,5.09,6.11,excellent
91.66,5.43,5.24,excellent
92.21,6.37,4.6,average
92.4,6.22,3.04,average
97.79,5.59,8.4,excellent
89.82,5.71,7.43,excellent
87.57,5.6,9.53,excellent
81.47,5.17,2.87,bad
81.78,6.71,9.12,bad
87.46,5.77,1.68,average
79.95,5.17,4.58,average
89.23,5.16,2.5,average
90.03,5.2,1.89,average
84.52,5.09,7.42,good
81.14,7.05,1.37,bad
81.02,5.82,3.33,bad
87.46,4.97,3.31,average
86.05,5.69,3.79,good
76.24,6.09,4.45,bad
87.03,5.66,6.91,excellent
81.44,5.63,1.6,bad
79.14,4.97,7.91,average
75.98,5.46,2.31,bad
81.47,5.21,7.76,good
90.97,4.79,6.03,good
81.57,5.17,9.4,excellent
79.23,6.15,5.34,bad
84.69,5.34,7.92,excellent
89.26,5.15,1.72,average
93.21,4.92,8.3,excellent
79.27,5.95,9.48,good
96.05,5.5,7.64,excellent
90.64,5.67,8.47,excellent
85.17,4.91,1.47,bad
88.82,5.78,6.84,excellent
75.12,5.8,1.4,bad
88.89,5.63,8.72,excellent
81.25,5.91,8.62,good
91.19,4.57,6.73,average
82.11,5.26,2.12,bad
84.44,5.76,3.89,average
86.32,4.74,8.65,good
84.81,5.94,3.4,average
88.36,5.59,4.23,good
88.63,5.11,4.36,good
82.68,5.51,6.25,excellent
93.41,5.33,1.52,good
80.29,5.04,1.81,bad
81.13,4.84,9.64,good
69.15,6.65,6.92,bad
89.08,5.67,9.62,excellent
93.44,5.01,9.11,excellent
75.45,5.93,9.49,good
79.67,4.87,7.81,average
82.61,5.87,4.14,average
87.38,5.88,6.16,good
83.89,6.53,6.58,bad
98.49,5.51,8.58,excellent
87.38,5.44,6.03,excellent
88.91,5.08,7.08,excellent
90.69,4.59,2.78,bad
87.59,6.0,9.27,excellent
75.09,5.64,4.36,bad
76.1,5.13,7.78,average
96.53,5.81,8.97,excellent
84.8,5.81,9.13,excellent
89.52,4.46,6.29,average
84.58,5.96,2.99,bad
88.3,6.47,5.31,bad
75.99,4.95,8.9,average
83.15,6.1,5.0,average
84.52,5.88,3.91,average
80.13,5.58,2.34,bad
76.93,5.37,9.85,excellent
81.87,5.53,2.87,average
82.48,5.76,2.2,bad
84.65,5.78,8.54,excellent
85.71,4.76,7.55,good
79.96,6.73,2.11,bad
88.51,5.53,2.6,good
77.68,6.3,8.08,average
81.86,5.16,6.04,average
86.0,5.43,3.1,good
73.99,5.96,3.0,bad
83.47,5.94,5.18,average
83.09,6.08,5.85,average
97.21,5.67,9.34,excellent
82.73,6.12,3.72,bad
84.43,6.29,8.39,good
87.16,5.94,6.0,good
86.96,4.93,2.12,bad
94.38,5.29,6.43,excellent
82.48,5.63,6.97,good
82.35,6.11,9.49,good
83.2,6.22,5.86,average
89.18,5.3,7.44,excellent
89.55,5.42,8.92,excellent
71.27,5.73,4.91,bad
83.12,5.43,5.18,good
85.01,5.81,8.48,excellent
75.18,5.2,4.27,bad
84.87,6.37,6.49,average
83.24,5.52,9.72,excellent
90.33,5.77,7.32,excellent
84.08,5.27,1.54,bad
81.41,6.04,5.06,bad
86.04,5.25,3.39,average
73.91,4.52,9.93,bad
85.22,5.75,4.61,good
91.23,5.58,4.51,excellent
95.45,5.34,7.39,excellent
91.26,6.28,7.46,good
84.7,6.33,3.35,bad
81.99,5.91,7.36,good
83.93,5.39,9.94,excellent
85.8,5.27,1.68,average
85.07,6.74,9.23,average
84.53,6.04,6.48,average
85.32,6.27,3.27,bad
86.39,5.86,9.59,excellent
90.83,5.72,2.33,average
85.35,5.45,8.74,excellent
77.01,5.73,4.43,bad
88.85,5.12,7.49,excellent
81.45,5.32,1.54,bad
85.84,5.75,5.54,good
87.79,5.23,1.27,average
83.18,4.73,8.25,average
88.94,4.52,2.4,bad
87.48,5.31,4.65,good
84.21,5.33,1.13,bad
91.67,5.55,8.54,excellent
80.45,5.46,9.72,excellent
85.01,6.16,8.56,good
91.76,5.47,2.5,good
81.91,5.68,2.39,bad
83.23,5.31,5.84,good
86.99,4.74,7.96,good
83.56,5.62,3.94,average
81.1,5.28,6.42,good
76.64,5.94,3.79,bad
91.03,5.83,9.89,excellent
79.08,5.58,8.79,excellent
87.38,4.74,2.77,bad
84.48,5.26,3.39,average
85.17,5.86,7.6,good
86.51,4.99,4.49,average
82.93,5.86,7.33,good
81.08,5.27,3.68,average
78.6,5.57,1.52,bad
87.15,5.37,3.96,good
86.05,4.96,2.31,bad
90.05,4.8,3.8,average
88.8,5.69,6.69,excellent
78.36,5.81,8.36,good
72.4,5.33,3.28,bad
87.34,5.43,6.17,excellent
87.45,5.89,4.13,average
86.8,5.28,7.44,excellent
79.5,5.54,7.39,good
80.75,5.55,7.25,excellent
81.58,5.46,1.16,bad
87.96,5.18,4.1,good
82.0,5.68,6.26,good
75.95,4.5,8.03,bad
89.67,5.02,5.47,good
78.68,5.36,6.77,good
83.38,6.4,8.11,average
76.66,4.92,2.44,bad
92.42,5.92,8.96,excellent
87.63,5.35,9.31,excellent
86.6,4.54,8.15,average
86.06,4.48,3.9,bad
95.27,5.17,5.86,excellent
79.16,5.24,2.68,bad
77.68,5.46,6.45,good
87.29,4.51,9.4,good
90.94,6.17,7.76,good
88.23,5.89,2.92,average
87.96,5.36,6.04,excellent
86.29,6.06,1.47,bad
85.54,5.69,8.97,excellent
88.37,5.31,8.16,excellent
77.87,5.31,7.44,good
91.94,5.52,7.23,excellent
78.82,5.02,8.72,good
87.97,5.63,6.55,excellent
83.58,5.66,4.69,good
85.01,4.52,3.09,bad
94.23,5.95,2.8,good
80.66,4.5,8.38,bad
85.61,5.72,5.51,good
89.99,5.15,5.73,good
91.07,4.77,4.3,average
74.67,5.35,1.87,bad
93.92,4.97,1.33,average
83.05,5.51,5.72,good
79.66,5.43,2.12,bad
79.1,4.97,6.82,average
83.45,5.62,9.84,excellent
83.34,4.67,2.74,bad
101.89,4.81,1.02,average
80.83,5.34,9.09,excellent
81.29,6.15,8.95,good
78.49,5.56,5.13,average
87.32,5.32,5.33,good
77.97,5.45,1.9,bad
76.18,5.72,1.03,bad
90.95,5.31,7.09,excellent
83.45,5.01,9.0,good
86.02,6.6,9.5,average
87.21,6.81,5.78,bad
89.17,4.76,8.23,good
85.34,5.75,3.55,average
88.3,5.32,5.59,excellent
82.21,6.08,6.29,average
89.53,4.73,6.34,average
90.98,4.78,5.21,average
93.47,5.83,3.4,good
82.22,5.31,2.48,average
87.34,5.5,7.4,excellent
86.21,4.88,2.85,bad
81.77,4.95,7.36,average
80.91,5.37,2.89,average
88.59,4.96,8.84,excellent
82.25,5.5,3.32,average
84.27,6.05,1.41,bad
79.81,4.76,3.08,bad
79.71,5.23,9.24,excellent
85.37,5.32,2.6,average
71.85,4.53,6.37,bad
80.3,4.97,5.45,average
84.33,5.03,3.77,average
81.22,5.79,4.81,average
84.77,6.04,6.84,good
87.76,5.23,6.34,excellent
72.35,6.72,1.98,bad
91.56,5.75,7.12,excellent
82.36,5.64,5.87,good
83.17,5.11,3.88,average
86.88,5.36,2.91,average
78.62,5.92,2.29,bad
83.16,5.05,1.58,bad
86.96,6.25,6.82,average
76.71,5.83,3.63,bad
85.75,5.18,8.74,excellent
86.53,4.56,6.38,average
84.77,4.69,8.17,average
85.84,4.94,4.93,average
85.2,5.48,5.11,good
93.12,5.61,3.59,excellent
86.93,5.78,7.62,excellent
81.14,5.35,5.03,average
81.38,5.35,4.05,average
87.46,5.07,8.36,excellent
90.76,5.21,5.55,excellent
84.24,5.8,9.27,excellent
78.3,5.12,8.39,good
79.55,6.36,2.91,bad
94.26,5.4,3.85,excellent
80.76,5.42,5.73,good
82.8,5.87,6.98,good
86.12,5.2,7.39,excellent
83.03,5.68,2.64,average
81.43,6.08,9.87,good
90.86,6.17,3.01,average
84.05,5.5,7.45,excellent
77.96,6.14,1.27,bad
82.18,5.58,7.2,excellent
83.71,5.33,2.93,average
85.71,5.81,8.57,excellent
99.96,5.91,4.62,excellent
90.52,4.6,7.88,good
83.17,5.81,9.02,excellent
82.25,6.92,1.64,bad
83.91,5.73,8.45,excellent
82.31,5.41,2.7,average
84.94,5.19,6.46,good
87.26,6.13,8.36,good
93.14,4.74,7.18,good
80.92,4.58,5.18,bad
80.41,5.71,7.34,good
86.85,4.83,5.83,average
84.2,5.19,6.5,good
88.31,5.18,4.58,good
88.31,5.49,8.26,excellent
85.5,5.06,7.11,good
93.64,5.56,6.74,excellent
80.57,5.12,6.67,average
86.09,6.21,6.49,average
75.26,5.26,2.27,bad
88.93,5.33,9.36,excellent
80.08,5.96,6.15,average
86.91,5.91,9.92,excellent
87.06,6.35,4.7,bad
84.65,6.23,3.17,bad
84.82,4.85,5.8,average
80.72,5.28,5.61,average
87.4,5.38,7.22,excellent
84.46,5.62,6.87,excellent
92.0,5.51,8.35,excellent
80.14,5.87,8.46,good
83.32,5.78,2.97,average
81.78,5.52,2.42,average
82.09,4.67,3.31,bad
86.39,5.58,4.44,good
85.84,5.34,8.45,excellent
78.87,5.44,6.21,good
81.79,5.55,5.18,good
94.42,5.65,7.73,excellent
95.26,6.19,2.85,average
95.25,6.41,1.63,bad
92.52,6.33,4.88,average
90.86,5.58,4.44,excellent
74.39,6.27,4.98,bad
92.26,5.67,1.87,good
84.29,5.74,1.9,bad
87.39,5.9,6.83,good
78.14,5.51,7.08,good
93.94,5.97,7.89,excellent
78.14,5.62,5.06,average
83.77,5.91,2.87,bad
78.81,5.42,4.07,average
84.74,5.23,6.2,good
90.09,5.15,5.22,good
90.86,6.15,7.36,good
81.75,6.24,4.36,bad
77.84,5.21,5.1,average
87.72,5.21,3.41,average
81.4,5.56,9.12,excellent
82.03,5.08,1.96,bad
76.67,4.9,8.44,average
81.23,5.36,8.91,excellent
82.54,5.06,5.74,average
85.07,6.22,6.51,average
82.28,5.88,9.56,excellent
77.64,6.03,5.77,bad
83.45,6.06,6.11,average
88.63,5.37,4.2,good
87.8,5.61,1.98,average
91.45,4.99,1.45,bad
84.08,4.36,3.92,bad
91.73,5.64,6.15,excellent
95.98,5.37,8.53,excellent
92.71,4.73,6.02,good
85.43,6.08,9.82,excellent
90.49,5.39,9.73,excellent
87.2,5.92,7.3,good
83.87,5.79,2.34,bad
78.14,5.95,3.39,bad
86.84,5.03,4.26,average
82.82,7.0,1.17,bad
88.28,5.21,8.41,excellent
84.9,5.46,1.24,average
74.89,6.25,5.41,bad
87.79,5.91,6.64,good
95.56,5.85,1.17,average
82.24,5.09,8.23,good
79.43,5.94,1.67,bad
87.16,5.12,2.2,average
77.47,5.41,5.65,average
87.82,6.1,2.24,bad
78.01,5.89,7.92,good
85.96,5.94,5.86,good
74.4,6.0,7.34,average
80.32,5.24,3.72,average
80.47,5.93,5.87,average
93.48,5.22,9.03,excellent
88.41,5.66,5.34,good
85.97,5.31,4.21,good
87.35,5.72,5.64,good
81.83,4.61,7.18,bad
80.27,5.03,6.77,average
82.04,5.35,2.3,average
86.47,5.98,7.74,good
80.93,5.14,3.82,bad
85.01,5.93,8.8,excellent
83.76,5.98,6.54,good
82.99,5.2,4.23,average
76.85,5.62,1.58,bad
94.04,5.53,4.55,excellent
82.16,5.15,8.1,good
86.91,5.62,10.0,excellent
92.95,5.79,9.18,excellent
82.3,4.35,5.48,bad
84.03,5.24,3.28,average
87.53,5.4,1.92,average
80.17,6.14,3.48,bad
84.48,6.3,8.71,good
85.3,5.2,3.77,average
83.14,6.22,4.7,bad
87.07,5.9,8.11,excellent
79.4,6.37,6.45,bad
87.08,5.41,3.4,good
83.71,6.15,5.93,average
85.85,5.19,2.0,bad
89.75,5.89,8.33,excellent
83.34,5.99,9.65,excellent
77.34,6.33,6.31,bad
84.69,5.13,3.22,average
83.48,4.6,1.43,bad
75.8,5.99,1.67,bad
81.46,5.52,6.57,good
89.42,5.87,3.65,average
84.83,5.72,5.07,good
88.19,5.87,2.41,average
94.43,5.78,3.11,good
77.37,6.25,8.29,average
86.41,5.9,9.09,excellent
81.24,5.22,5.86,average
95.53,5.79,3.77,good
82.25,5.91,2.05,bad
82.92,5.83,1.78,bad
84.24,5.45,3.91,good
91.73,5.26,8.38,excellent
82.76,5.58,6.55,good
83.02,5.71,9.0,excellent
94.35,5.76,4.75,excellent
86.67,5.32,2.65,average
80.72,6.4,2.55,bad
83.95,5.21,2.46,bad
89.02,5.18,5.43,good
78.29,6.13,7.8,average
81.21,5.09,4.08,bad
83.26,5.36,5.59,good
81.81,5.62,1.52,bad
87.2,6.36,1.82,bad
80.9,5.45,6.73,good
81.13,6.38,4.14,bad
84.38,5.3,5.86,good
79.93,4.52,1.08,bad
85.9,6.05,5.3,average
93.2,5.51,2.42,good
88.57,6.18,3.16,bad
86.19,5.58,8.28,excellent
77.28,5.67,5.86,average
85.74,5.38,3.02,average
84.6,5.06,6.69,good
89.11,5.94,3.17,average
84.99,4.32,3.4,bad
82.92,5.47,5.02,good
82.22,5.47,2.12,average
83.84,5.26,9.02,excellent
85.06,5.52,8.38,excellent
83.36,6.49,3.97,bad
82.32,5.76,1.54,bad
78.86,4.91,6.34,average
83.17,6.34,1.08,bad
93.14,5.56,6.09,excellent
84.79,5.06,2.7,bad
85.61,5.66,6.89,excellent
76.03,5.88,8.13,average
83.74,6.18,3.52,bad
82.27,5.75,8.06,excellent
80.61,5.38,6.62,good
96.6,5.07,4.4,good
86.8,6.16,9.57,excellent
80.98,6.27,4.81,bad
79.11,4.7,2.93,bad
75.22,5.37,4.77,average
85.62,5.06,1.99,bad
77.89,5.54,8.66,excellent
77.59,5.22,5.2,average
75.6,5.62,6.34,average
83.87,4.88,4.09,bad
88.39,6.48,6.86,average
83.31,6.11,3.04,bad
83.11,5.42,7.12,excellent
84.12,6.15,2.01,bad
82.69,5.89,4.3,average
87.22,6.17,8.85,good
79.16,5.72,2.16,bad
93.97,4.53,4.63,average
83.29,5.06,5.83,average
81.96,5.59,8.68,excellent
84.33,4.92,8.54,good
90.69,4.75,3.72,average
86.6,5.57,6.29,excellent
90.16,5.02,4.29,average
85.92,5.44,4.48,good
82.78,5.58,8.6,excellent
93.78,4.78,6.4,good
89.2,4.48,4.21,bad
82.66,5.29,1.9,bad
84.94,6.6,3.74,bad
78.27,5.84,5.73,average
87.48,5.66,3.19,good
80.24,6.12,1.56,bad
84.92,4.83,9.72,good
86.59,5.76,6.16,good
91.61,4.43,3.27,bad
86.3,5.5,9.76,excellent
83.68,5.81,4.88,average
82.89,4.77,7.52,average
89.6,5.1,1.07,bad
84.47,5.95,9.19,excellent
82.37,5.19,7.07,good
73.23,5.83,4.31,bad
79.13,5.35,8.88,excellent
83.94,5.63,1.91,average
87.85,5.67,3.65,good
79.63,5.87,7.17,good
72.47,4.9,6.96,bad
87.24,5.85,3.0,average
85.4,4.87,2.01,bad
81.54,5.48,2.93,average
95.61,5.15,9.89,excellent
88.54,5.3,6.42,excellent
90.53,5.71,1.23,average
93.12,4.93,7.88,excellent
81.79,5.64,3.84,average
93.07,5.68,5.77,excellent
81.69,5.04,8.89,good
89.36,6.32,3.47,bad
75.5,4.03,8.21,bad
89.75,5.56,4.79,excellent
87.84,5.34,2.86,average
97.06,5.97,2.15,good
93.74,5.48,5.2,excellent
82.64,5.06,2.31,bad
92.22,4.78,4.79,average
74.05,4.56,5.36,bad
91.31,4.22,3.62,bad
78.18,4.63,8.39,average
80.3,5.99,3.04,bad
88.15,4.79,8.79,good
93.12,5.29,8.95,excellent
79.46,5.92,9.53,good
83.93,5.88,7.96,good
88.18,4.88,1.97,bad
92.33,5.03,7.69,excellent
82.48,4.94,9.38,good
85.95,5.65,4.01,good
89.47,5.09,2.09,average
80.51,5.37,3.84,average
80.3,5.44,8.1,excellent
83.18,5.16,9.22,excellent
77.98,5.23,7.09,good
68.79,5.17,5.44,bad
83.48,5.4,6.85,excellent
84.08,6.08,8.32,good
84.12,5.55,6.37,excellent
84.07,6.16,8.52,good
83.23,5.19,9.49,excellent
91.07,5.64,3.61,good
90.32,5.95,5.21,good
91.19,5.42,5.37,excellent
80.01,5.16,5.02,average
80.62,4.81,6.3,bad
84.92,6.15,2.42,bad
83.5,5.01,5.19,average
82.5,5.54,2.52,average
86.12,5.2,3.94,average
83.28,5.62,7.13,excellent
88.46,5.85,1.39,bad
86.36,6.13,7.45,good
81.08,4.9,4.91,bad
78.34,6.17,4.31,bad
75.65,5.01,3.65,bad
89.23,5.85,2.98,average
93.66,5.5,8.26,excellent
92.51,6.26,5.72,good
76.98,4.8,4.64,bad
80.07,5.54,7.08,good
85.25,6.39,6.55,average
87.14,5.78,5.07,good
84.69,5.22,3.89,average
98.22,5.31,9.08,excellent
86.32,6.14,4.67,average
80.86,5.56,5.98,good
83.12,6.43,4.59,bad
88.22,6.19,1.69,bad
76.84,5.09,3.02,bad
85.57,5.67,7.04,excellent
90.93,5.18,5.88,excellent
83.89,5.46,9.95,excellent
79.37,5.3,7.69,good
82.35,5.67,6.15,good
78.01,6.63,9.2,bad
81.68,6.52,2.54,bad
82.46,5.26,3.1,average
82.94,4.95,1.12,bad
86.62,5.23,6.06,good
78.88,4.93,8.41,average
88.14,5.62,6.69,excellent
75.82,5.15,8.1,average
93.19,5.22,7.78,excellent
88.66,5.2,3.66,good
83.21,5.65,1.92,average
84.7,5.67,3.59,average
87.16,5.42,9.88,excellent
83.92,6.2,3.96,bad
77.28,6.28,7.71,bad
86.08,4.9,7.96,good
84.82,4.73,8.62,good
83.93,5.48,8.09,excellent
77.54,5.73,5.37,average
88.67,4.8,3.39,bad
87.07,4.73,6.08,average
85.42,5.22,2.34,average
78.58,4.55,7.46,bad
83.06,5.57,3.11,average
83.58,6.1,4.05,bad
95.11,4.73,6.6,good
78.59,5.54,2.74,average
83.08,6.15,2.51,bad
85.61,5.4,2.97,average
82.95,5.45,1.26,bad
80.47,5.47,2.44,average
83.88,5.38,6.88,excellent
86.48,5.04,4.41,average
88.52,5.72,1.81,average
79.87,5.91,1.33,bad
87.85,5.92,4.75,good
86.23,4.94,7.35,good
85.97,5.36,7.33,excellent
78.95,5.1,6.75,average
89.98,5.69,4.15,good
79.52,5.37,2.52,bad
84.23,5.92,6.66,good
82.48,6.15,8.75,good
86.24,5.96,9.72,excellent
88.34,5.72,3.45,good
82.38,5.97,3.82,bad
88.02,5.54,3.34,good
88.92,4.03,1.67,bad
86.39,5.77,7.07,excellent
76.42,4.55,8.19,bad
89.73,5.84,6.09,excellent
93.03,5.52,6.05,excellent
88.26,5.19,8.17,excellent
88.16,5.94,3.28,average
74.23,5.04,1.93,bad
90.16,5.37,8.49,excellent
83.71,5.19,4.62,average
93.33,6.59,1.75,bad
82.21,5.65,8.46,excellent
82.85,4.81,6.68,average
94.8,5.34,7.96,excellent
90.7,5.34,8.07,excellent
86.22,5.54,9.52,excellent
75.01,5.59,6.78,average
98.9,4.22,3.6,bad
80.11,5.46,8.19,excellent
85.0,6.13,2.52,bad
88.17,5.57,7.78,excellent
87.14,5.15,8.02,excellent
84.95,5.51,2.51,average
94.56,5.45,7.32,excellent
74.29,5.13,4.39,bad
82.06,5.34,2.65,average
82.73,5.45,5.5,good
81.61,5.57,1.92,average
81.26,5.79,8.7,excellent
82.29,5.72,7.53,good
77.49,5.63,8.38,good
80.65,5.43,4.73,average
85.36,5.36,1.52,average
87.57,6.25,4.8,average
89.14,5.32,3.7,good
79.29,5.65,4.39,average
87.94,6.22,3.1,bad
89.73,6.15,9.94,excellent
90.38,5.18,7.05,excellent
84.59,5.16,2.97,average
86.89,5.79,5.4,good
82.46,5.71,8.43,excellent
89.98,5.17,2.07,average
82.06,6.16,2.59,bad
83.94,5.38,7.28,excellent
84.45,5.21,7.39,good
83.93,6.57,4.26,bad
85.15,5.87,7.28,good
80.5,5.92,1.61,bad
84.04,6.37,1.13,bad
89.98,5.48,5.7,excellent
93.21,4.97,4.02,good
84.52,6.56,1.96,bad
81.68,5.63,2.61,average
83.8,5.61,8.07,excellent
88.75,6.26,3.66,bad
82.82,5.31,9.95,excellent
91.52,5.44,9.85,excellent
86.83,5.72,6.16,good
82.78,4.69,1.31,bad
79.35,5.7,5.51,average
80.33,5.23,1.55,bad
86.36,5.53,9.33,excellent
93.33,5.83,9.71,excellent
78.38,4.26,9.16,bad
91.0,5.89,7.78,excellent
85.28,4.98,5.19,average
80.88,5.61,6.82,good
82.83,5.2,3.15,average
89.25,6.28,1.94,bad
81.17,5.86,8.9,good
87.82,4.67,8.39,good
89.63,4.95,3.88,average
89.31,6.06,5.79,good
87.06,5.24,2.44,average
85.98,5.17,1.45,bad
84.87,5.57,9.04,excellent
81.12,5.3,2.0,bad
88.58,6.43,5.95,average
78.05,5.04,1.71,bad
93.54,5.57,5.22,excellent
85.12,5.75,3.96,average
90.27,5.53,1.59,good
93.98,5.34,8.97,excellent
88.62,5.2,5.15,good
86.71,5.6,1.6,average
83.66,5.45,6.15,good
85.07,6.14,5.46,average
90.89,6.28,1.63,bad
82.76,5.55,2.96,average
83.77,5.76,4.72,average
87.86,5.14,1.79,average
78.0,5.46,6.57,good
83.7,6.03,5.61,average
84.15,5.48,7.06,excellent
83.03,5.63,3.2,average
90.44,5.07,7.9,excellent
89.74,5.45,5.86,excellent
85.12,5.11,6.49,good
100.56,6.16,4.78,excellent
86.01,5.43,9.61,excellent
89.78,6.42,1.41,bad
83.88,5.31,6.81,good
90.29,6.62,5.93,bad
88.43,3.83,9.37,bad
78.76,5.7,2.26,bad
79.81,4.65,5.74,bad
86.22,5.84,8.71,excellent
76.09,5.34,1.26,bad
85.56,6.25,1.92,bad
78.91,6.72,2.17,bad
90.2,5.41,6.33,excellent
87.73,4.66,7.04,average
85.31,5.73,7.29,excellent
85.89,5.15,6.09,good
84.96,4.88,5.3,average
92.95,6.03,3.4,average
82.79,5.73,6.53,good
82.26,5.98,4.75,average
75.67,5.98,3.14,bad
85.11,5.14,2.67,average
81.06,5.9,3.66,bad
85.67,4.73,2.48,bad
81.25,6.03,8.05,good
90.08,5.64,2.76,good
89.13,6.04,5.97,good
