temp,humidity,aroma,color,quality
30.9,86.23,1990,111,Good
39.99,62.84,1905,186,Average
21.12,43.43,1434,107,Average
39.09,69.92,429,163,Bad
32.67,51.54,1074,109,Good
22.4,47.73,1155,162,Bad
34.1,54.86,624,122,Average
29.44,62.48,342,94,Good
35.7,85.33,1957,56,Bad
32.23,80.19,1642,133,Average
23.91,74.12,761,147,Average
38.9,43.74,1751,133,Average
24.47,72.15,854,148,Good
32.83,85.11,480,82,Bad
31.88,80.59,1220,164,Average
31.08,88.41,1971,120,Good
30.18,89.26,311,87,Average
24.79,43.05,279,144,Bad
37.25,81.64,999,75,Bad
35.86,85.14,1000,105,Average
21.99,68.05,1550,113,Good
33.62,46.28,1064,187,Bad
36.15,67.73,604,179,Bad
25.32,68.19,315,122,Good
35.49,51.65,378,142,Average
28.39,65.12,1137,51,Good
37.36,79.48,1450,170,Bad
37.66,66.36,1741,153,Average
26.43,43.48,1439,148,Good
21.3,55.66,1848,94,Good
24.23,78.94,762,122,Bad
20.44,81.35,1806,165,Bad
38.23,73.61,1114,107,Good
33.06,53.05,1578,146,Good
23.83,76.17,487,190,Bad
21.69,72.46,1246,81,Good
35.54,42.37,607,107,Bad
26.01,40.03,841,58,Average
34.2,77.91,339,143,Bad
31.12,57.36,1381,161,Good
35.5,62.67,1161,151,Average
23.37,42.65,1186,50,Bad
24.28,89.72,1211,154,Bad
25.73,73.3,522,165,Average
27.42,63.35,1316,156,Good
28.77,42.02,1516,182,Average
23.71,67.99,1453,140,Good
29.92,51.58,1170,77,Good
30.72,78.37,1648,76,Average
39.91,65.7,1868,65,Average
35.95,83.8,903,57,Bad
28.74,83.34,1687,96,Good
39.81,80.01,381,164,Bad
25.49,75.63,1160,148,Good
22.25,50.06,375,104,Average
32.47,88.14,1036,65,Bad
23.73,67.03,622,199,Bad
35.61,56.18,1144,189,Average
24.82,63.91,334,65,Bad
22.36,69.44,904,129,Good
34.81,83.52,1309,161,Bad
28.06,59.61,1530,196,Good
33.75,47.23,731,172,Bad
36.2,46.72,287,128,Bad
22.26,75.66,1131,102,Average
29.52,82.53,345,87,Average
34.29,87.55,1623,64,Bad
27.75,42.15,1930,132,Good
35.87,68.89,1319,105,Good
38.59,43.32,1809,122,Average
28.97,53.35,1115,145,Excellent
29.19,72.38,1063,130,Excellent
24.52,74.84,1123,116,Good
26.6,55.64,579,117,Good
28.4,72.1,420,175,Average
37.86,45.6,1227,155,Bad
30.61,55.31,1761,53,Good
37.76,84.5,1652,116,Average
28.93,65.82,455,163,Average
36.26,54.08,564,103,Average
36.16,45.57,802,148,Average
38.76,74.65,306,63,Bad
31.3,57.62,1000,138,Excellent
23.35,86.03,549,141,Bad
29.41,83.08,1081,184,Average
27.25,48.25,1387,122,Good
34.63,66.04,398,103,Average
33.22,69.38,1264,172,Average
28.17,69.71,626,56,Average
25.64,78.31,304,142,Average
27.97,49.01,1737,65,Average
39.47,79.5,400,110,Bad
37.13,46.92,544,161,Bad
23.98,60.9,518,75,Bad
23.53,71.63,1594,156,Average
37.74,54.17,377,197,Bad
35.35,66.82,1201,109,Good
21.5,68.06,676,69,Bad
26.72,75.97,521,169,Bad
25.9,80.49,1225,90,Good
27.65,66.84,1091,190,Good
28.63,65.44,817,63,Good
35.1,83.29,955,174,Bad
35.2,51.56,473,110,Average
39.65,71.26,318,65,Bad
31.19,63.55,1974,130,Excellent
38.77,85.98,507,197,Bad
36.75,43.24,1347,64,Bad
32.25,53.85,1923,139,Good
31.71,48.55,447,58,Bad
25.18,48.83,1724,171,Average
36.27,61.02,1166,162,Average
21.6,88.36,1748,156,Bad
26.89,55.73,453,113,Good
29.56,47.02,1424,74,Average
31.43,43.43,1172,175,Average
28.16,41.13,1034,160,Average
32.62,70.28,1797,183,Average
23.2,55.48,1729,189,Average
37.36,51.4,1769,88,Good
29.19,42.64,1276,112,Good
30.84,87.22,821,180,Average
28.36,54.6,1922,92,Excellent
35.92,89.77,1375,193,Bad
26.69,71.41,709,199,Average
22.65,57.82,1793,191,Average
28.19,44.78,816,70,Average
29.38,71.37,1518,56,Good
21.12,86.23,1915,75,Bad
22.9,82.9,1026,94,Average
31.21,73.12,1243,98,Excellent
23.44,70.87,1174,105,Good
20.45,51.0,1718,111,Good
23.43,60.89,1481,74,Average
35.08,51.98,504,177,Bad
38.34,82.43,1884,54,Bad
21.22,82.0,1596,100,Average
30.88,40.81,1598,115,Good
38.4,41.9,840,110,Average
26.29,66.22,1528,78,Good
24.22,54.69,1997,93,Good
28.29,84.12,840,165,Average
33.74,74.39,361,184,Bad
35.73,45.84,1291,66,Bad
38.52,66.59,671,81,Average
35.8,75.65,762,120,Bad
30.46,57.95,1731,122,Excellent
31.08,83.32,529,154,Bad
32.74,50.13,1848,61,Average
22.83,52.36,1177,68,Average
33.24,80.49,622,178,Bad
24.9,62.88,1626,74,Average
34.64,73.37,1162,149,Good
24.82,87.81,1766,55,Bad
30.68,58.77,1519,57,Good
39.7,40.48,1970,127,Average
23.74,73.44,759,66,Bad
24.73,63.74,1198,74,Average
23.64,40.62,311,146,Bad
28.98,44.56,1203,50,Average
37.4,49.74,1331,53,Bad
36.7,44.0,1133,102,Average
30.4,63.57,1176,147,Excellent
23.16,59.58,1484,164,Average
23.64,50.41,1031,73,Average
30.79,88.41,1017,177,Average
20.89,84.95,1176,104,Average
26.23,63.97,337,177,Average
38.04,85.37,1741,139,Average
38.37,66.9,1117,125,Good
36.39,50.05,763,67,Bad
32.3,80.76,238,51,Bad
34.95,84.23,748,175,Bad
30.44,62.21,1250,76,Good
35.28,71.42,846,136,Good
25.87,46.03,1664,120,Good
21.39,85.12,1856,168,Bad
23.96,40.23,802,152,Bad
27.65,42.84,1995,157,Average
36.69,52.44,1062,195,Average
32.27,42.35,1716,138,Average
31.46,64.23,1068,79,Good
26.82,80.15,280,108,Average
29.05,62.34,1655,184,Good
33.68,56.93,516,61,Bad
26.9,43.29,275,147,Average
37.54,52.06,1805,154,Average
23.61,47.02,1177,133,Average
27.71,41.19,1780,190,Average
24.82,42.55,1298,124,Average
26.1,47.66,1441,124,Good
39.12,75.67,691,62,Bad
20.86,51.23,1545,183,Average
35.84,56.08,1748,95,Good
21.39,67.41,1537,99,Good
21.81,74.28,1367,170,Average
37.96,55.88,1881,112,Good
36.26,89.02,1644,197,Bad
37.33,49.36,1060,59,Bad
29.55,57.47,897,183,Good
34.47,86.43,1034,62,Bad
33.45,58.74,622,111,Average
35.76,48.52,569,159,Bad
26.25,56.25,1877,160,Good
37.77,43.01,687,164,Bad
32.22,64.71,1197,105,Good
35.6,51.93,1561,57,Average
29.87,46.2,1726,116,Good
31.47,47.05,1948,92,Good
26.32,51.86,330,138,Good
34.46,50.25,1473,154,Average
27.77,41.04,750,188,Bad
32.98,51.5,1363,178,Average
34.79,81.72,1812,80,Average
36.13,66.94,681,114,Average
39.8,56.41,1345,197,Average
20.56,55.52,352,172,Bad
21.26,80.18,352,108,Bad
33.26,73.43,396,69,Bad
21.51,40.79,355,51,Bad
35.1,75.21,1400,157,Bad
24.77,84.55,1137,64,Bad
25.31,44.01,1148,86,Good
29.61,54.35,1745,179,Good
39.53,46.48,668,75,Bad
27.95,52.5,876,190,Good
38.08,45.39,1787,182,Bad
24.01,55.33,1820,124,Good
28.19,79.11,1752,187,Average
32.24,66.27,934,184,Average
30.27,43.04,258,84,Average
20.1,74.42,1274,101,Good
35.07,49.36,835,183,Bad
37.71,71.3,1407,114,Good
38.67,78.06,944,121,Average
36.21,46.21,1696,52,Bad
20.86,43.27,1536,79,Bad
25.9,66.16,219,133,Good
27.38,66.85,760,181,Average
23.58,65.23,684,110,Average
28.99,56.06,1355,93,Excellent
37.29,40.67,298,121,Bad
31.37,84.69,213,71,Bad
30.09,66.02,977,133,Excellent
38.93,58.75,1808,166,Average
35.96,43.94,480,68,Bad
39.31,65.63,1804,59,Average
21.36,50.35,1657,76,Average
28.85,79.44,475,62,Bad
38.56,48.63,984,194,Bad
26.41,41.69,325,71,Bad
20.04,49.22,1458,111,Average
32.81,46.46,1423,101,Average
38.39,48.64,1510,164,Bad
28.51,54.46,1728,176,Good
26.85,80.12,1203,162,Average
28.3,55.39,1198,66,Good
26.15,67.96,1311,53,Good
26.88,61.71,303,141,Good
36.54,41.96,1545,117,Average
31.79,88.75,1368,53,Average
20.44,54.32,1105,122,Good
24.2,68.91,853,162,Average
29.0,63.61,630,75,Average
27.94,81.94,924,163,Average
25.77,67.54,802,173,Good
22.49,40.94,1998,169,Bad
38.64,70.99,483,53,Bad
28.1,88.73,1356,168,Average
38.4,67.88,997,137,Good
26.89,84.33,1021,68,Average
20.4,45.94,1076,162,Bad
37.09,85.89,1500,63,Bad
34.18,50.26,1667,184,Average
25.99,57.94,1324,158,Good
36.65,76.43,682,56,Bad
35.35,42.7,1391,115,Average
28.22,47.26,306,156,Bad
22.76,47.55,1719,100,Average
21.81,52.19,1707,152,Average
37.21,41.6,1217,114,Average
20.87,82.85,760,197,Bad
33.97,45.31,1251,188,Bad
22.32,88.43,835,191,Bad
25.26,83.37,944,127,Good
27.83,88.76,652,144,Average
32.87,74.86,1672,115,Good
33.96,87.6,830,191,Bad
25.59,78.38,962,108,Good
30.84,77.97,428,168,Bad
26.06,46.95,292,133,Average
38.6,65.86,699,66,Bad
33.55,66.38,1078,156,Average
24.61,49.69,1540,72,Bad
39.61,46.73,215,138,Bad
28.69,83.49,916,187,Average
20.5,87.41,1463,76,Bad
27.03,79.15,1721,84,Good
37.83,49.29,701,157,Bad
33.95,84.01,278,131,Bad
32.88,49.92,975,63,Bad
36.9,65.03,1883,147,Good
20.43,65.59,1437,86,Good
21.98,48.55,340,103,Bad
24.91,72.56,1904,164,Average
34.64,45.07,1823,198,Bad
28.38,56.44,414,55,Average
32.57,55.91,1119,56,Average
33.1,56.88,1168,179,Average
29.89,59.79,1048,159,Good
37.07,61.93,1242,197,Average
34.6,53.54,387,161,Bad
25.86,45.56,802,68,Average
35.46,49.93,861,93,Average
32.19,66.82,1469,98,Good
29.3,52.5,1968,89,Excellent
36.62,40.92,1954,126,Average
27.44,55.59,1502,90,Excellent
39.69,82.93,624,175,Bad
37.2,48.56,1357,194,Bad
23.21,71.65,947,117,Good
25.73,57.22,1508,89,Excellent
27.24,71.63,1992,144,Excellent
35.48,72.95,1350,100,Good
20.17,58.3,956,126,Good
36.12,89.22,1066,179,Bad
35.64,47.8,1346,182,Bad
39.22,79.23,1873,80,Average
28.75,66.25,1046,155,Good
27.3,53.26,1260,53,Good
29.26,69.94,1240,72,Good
32.73,40.75,477,105,Bad
34.58,58.33,1048,86,Good
31.78,53.12,1255,95,Excellent
24.24,41.61,286,97,Bad
27.58,83.02,1712,165,Average
23.61,59.92,1664,112,Good
25.82,86.06,1032,115,Good
31.73,42.22,254,70,Bad
33.1,87.34,294,149,Bad
27.8,89.78,1198,119,Good
37.0,79.38,506,192,Bad
30.58,55.51,1387,66,Good
36.43,72.11,1528,175,Average
20.37,65.5,1865,123,Good
34.97,83.45,524,62,Bad
32.38,44.18,650,63,Bad
37.35,60.38,271,103,Average
27.47,77.86,1325,84,Good
29.33,46.72,1297,83,Good
39.85,59.72,1360,91,Good
35.21,87.97,1344,90,Average
38.19,62.18,1989,156,Average
38.14,44.12,375,91,Bad
27.9,71.77,1948,58,Good
30.88,49.37,1213,175,Average
21.9,48.46,331,143,Bad
32.33,59.46,1512,164,Average
21.02,68.14,728,131,Average
20.03,76.52,221,65,Bad
38.6,42.37,940,76,Bad
21.24,66.55,1085,139,Good
20.82,89.72,1351,153,Bad
26.22,58.18,937,166,Good
34.25,85.12,305,106,Bad
27.77,70.19,977,75,Good
21.41,78.13,1637,104,Average
38.86,78.68,316,176,Bad
28.29,53.21,705,142,Good
36.64,63.35,1367,148,Good
25.51,43.96,1076,125,Good
26.12,82.6,363,148,Average
38.69,87.69,1176,72,Bad
20.91,88.17,213,101,Bad
22.4,84.58,1575,154,Bad
31.27,64.87,1851,115,Excellent
34.44,67.66,351,71,Bad
30.47,51.01,1467,65,Good
35.87,83.26,536,75,Bad
25.14,70.93,1689,124,Excellent
37.61,59.68,675,105,Average
39.74,69.01,1530,111,Good
29.04,56.73,577,60,Average
31.96,54.43,1211,159,Good
23.07,44.52,1707,171,Bad
35.66,75.2,1360,85,Average
31.75,63.89,1034,185,Good
38.29,76.72,1143,97,Average
29.74,66.87,493,124,Good
25.8,51.46,1102,162,Good
30.11,51.91,1458,102,Excellent
31.6,55.24,1956,61,Good
30.69,68.89,1259,173,Good
24.95,63.65,632,194,Bad
34.31,50.93,540,117,Average
37.84,57.48,318,61,Bad
37.44,62.29,990,147,Good
22.41,65.12,730,116,Average
28.52,56.41,422,170,Average
28.9,87.08,311,178,Bad
21.87,51.82,812,53,Average
20.88,78.53,1405,144,Average
28.05,82.88,699,157,Bad
24.72,41.12,1973,78,Bad
23.12,86.65,569,160,Bad
21.6,55.24,1457,54,Average
22.85,84.13,543,82,Bad
35.1,52.04,544,78,Bad
27.79,84.88,1293,152,Average
35.54,81.06,1047,72,Bad
35.06,47.42,437,155,Bad
28.6,67.03,1225,167,Good
28.69,45.77,251,155,Bad
30.63,72.34,599,198,Average
35.44,59.84,863,97,Good
23.99,55.09,269,135,Average
35.22,65.45,1437,63,Average
28.2,45.29,1150,138,Good
33.51,58.56,1652,127,Good
20.85,74.31,1769,92,Good
38.87,41.01,1772,69,Bad
39.18,68.0,1974,77,Average
20.3,53.96,1804,166,Average
27.06,42.71,396,86,Average
24.01,49.24,1403,83,Average
20.05,50.32,260,83,Average
21.9,53.69,1070,91,Good
27.12,54.42,1599,55,Good
21.8,74.76,996,78,Average
28.48,62.4,1859,151,Good
20.57,76.15,570,87,Bad
23.6,85.12,377,144,Bad
35.48,87.67,1096,132,Average
35.96,70.0,1269,190,Average
29.63,79.53,1221,145,Good
29.25,74.49,751,170,Average
22.04,77.84,1503,87,Average
26.51,76.93,1315,106,Good
28.32,57.34,1753,54,Good
27.58,82.56,1928,181,Average
31.86,47.23,1941,174,Average
29.47,60.87,1378,70,Good
37.08,65.71,589,146,Average
34.48,59.57,1217,125,Good
34.03,73.0,679,191,Bad
38.82,49.76,1134,189,Bad
21.13,87.69,262,176,Bad
31.88,45.54,1390,83,Good
22.28,70.96,338,103,Average
37.43,78.6,1993,153,Bad
34.41,75.88,1932,105,Average
28.84,63.13,383,67,Average
25.45,87.61,402,130,Average
31.26,48.76,1444,122,Good
22.24,48.53,1915,137,Average
33.97,59.26,1861,197,Average
35.07,66.58,846,109,Good
28.08,73.01,1643,192,Good
29.98,78.01,1123,129,Good
27.51,56.95,1297,89,Excellent
34.32,86.53,1489,127,Average
30.94,76.99,1827,145,Good
21.27,58.72,940,92,Good
39.15,48.86,1178,122,Average
29.33,42.13,1558,98,Good
29.43,73.09,768,54,Average
37.02,85.07,504,58,Bad
34.62,83.89,985,67,Bad
28.0,49.77,782,117,Average
33.03,45.61,1150,55,Bad
25.81,45.22,928,101,Good
21.68,64.93,428,145,Average
30.25,42.96,1887,128,Good
30.5,79.65,1738,52,Average
35.45,43.62,682,173,Bad
29.71,44.95,1318,101,Good
38.75,45.47,1892,168,Bad
23.64,85.94,509,127,Bad
23.45,48.94,1446,147,Average
25.87,82.85,946,73,Average
22.37,86.99,1277,134,Average
22.22,41.86,1681,182,Bad
28.77,75.03,1122,78,Average
26.34,74.05,1725,196,Good
37.44,43.82,1548,121,Average
29.65,66.26,1517,65,Good
37.18,42.95,453,147,Bad
39.31,54.6,1657,90,Good
20.67,68.91,1187,136,Good
27.6,74.08,420,180,Average
32.39,47.75,334,65,Bad
25.89,64.57,1203,158,Good
35.68,78.32,1776,145,Average
37.53,81.54,1669,169,Bad
29.09,45.63,1287,171,Average
37.91,55.84,1857,141,Good
35.89,52.15,1855,76,Average
21.53,64.99,1271,101,Good
30.25,66.82,290,195,Average
21.52,64.0,1099,119,Good
26.88,74.46,340,164,Average
20.45,67.97,527,57,Bad
21.25,79.88,803,78,Bad
31.89,49.21,988,143,Good
25.07,74.27,1008,78,Good
36.25,57.85,611,70,Bad
24.73,53.16,1831,150,Good
21.85,60.56,1714,77,Average
30.27,47.23,1647,161,Average
39.34,42.71,1799,92,Average
34.73,66.69,1806,154,Average
23.41,73.73,1035,149,Good
25.2,73.91,1765,172,Good
39.62,70.37,1973,133,Good
20.37,71.52,304,164,Bad
21.3,72.14,967,149,Good
28.43,43.51,1390,53,Average
32.09,72.46,1290,58,Average
28.51,81.09,652,199,Bad
28.99,66.49,1192,75,Good
24.39,48.16,1389,145,Average
30.63,61.1,1687,140,Excellent
33.78,63.91,1205,65,Average
25.69,45.74,939,126,Good
29.47,79.96,1827,70,Average
28.41,80.83,1866,166,Average
30.82,86.96,1251,197,Average
24.32,57.36,223,154,Bad
30.43,86.94,868,136,Good
38.14,82.52,829,93,Average
37.99,64.41,1560,50,Average
30.09,82.67,1396,113,Good
33.51,82.85,557,189,Bad
31.03,67.51,1757,122,Excellent
22.53,55.01,1474,97,Good
39.99,61.64,971,78,Average
21.39,44.57,594,101,Bad
25.13,87.13,1890,126,Good
36.87,76.81,460,65,Bad
30.38,83.33,356,69,Bad
35.17,80.88,458,72,Bad
28.51,45.85,1232,188,Average
39.2,43.16,1301,196,Bad
28.89,75.13,691,125,Average
24.87,71.87,881,167,Average
37.63,40.89,830,94,Average
24.55,63.24,1202,148,Good
32.31,65.02,1790,196,Average
36.66,60.31,1707,133,Good
26.28,60.11,1883,144,Excellent
21.01,69.85,707,173,Bad
27.79,76.04,899,162,Average
29.34,63.59,373,146,Good
33.27,44.25,1369,182,Bad
37.61,88.03,470,165,Bad
39.54,61.64,1122,70,Average
39.51,42.27,1093,140,Average
38.45,51.13,373,188,Bad
34.06,83.72,490,185,Bad
24.95,60.13,1346,193,Average
24.08,75.52,535,110,Bad
35.48,81.76,1470,59,Bad
26.95,80.96,307,100,Average
37.81,49.57,1526,176,Bad
24.86,64.6,963,171,Average
32.18,61.26,562,100,Average
30.26,41.47,1174,184,Average
32.52,88.61,1319,178,Bad
23.77,63.8,282,60,Bad
23.52,80.84,925,177,Bad
32.81,78.85,229,177,Bad
23.87,64.66,729,53,Bad
33.14,68.97,1973,181,Average
38.78,64.95,1669,104,Good
27.27,60.26,919,122,Excellent
39.64,41.23,1757,99,Average
35.36,80.87,1893,70,Bad
20.14,70.52,272,52,Bad
34.3,72.06,1591,154,Average
29.22,40.51,970,57,Average
30.94,45.44,1724,170,Average
22.62,49.82,1602,171,Bad
34.56,75.45,1313,80,Average
36.03,68.99,689,92,Average
29.67,78.65,1178,171,Average
20.69,76.98,1184,121,Average
24.03,87.24,1261,53,Bad
27.82,83.46,1399,126,Good
37.96,64.67,1807,92,Good
34.23,55.87,880,116,Good
26.07,85.22,1682,135,Good
33.46,51.53,260,145,Average
30.23,59.17,308,62,Average
34.61,65.81,1378,192,Average
35.32,55.55,718,149,Average
34.25,46.17,1890,167,Bad
20.81,71.01,984,183,Average
36.84,87.77,1714,99,Average
34.89,60.79,416,123,Average
27.68,41.79,1712,100,Good
26.53,79.88,1458,100,Good
20.37,54.93,1133,176,Average
39.37,66.87,227,149,Average
35.87,81.53,299,132,Bad
33.94,84.51,1959,58,Bad
21.7,82.8,1079,193,Bad
20.3,86.96,427,94,Bad
30.58,86.56,1084,178,Average
34.06,88.24,422,159,Bad
29.91,46.47,592,192,Bad
39.89,77.23,935,59,Bad
30.68,74.01,1468,120,Excellent
28.71,65.58,1481,145,Excellent
27.1,69.71,867,108,Excellent
38.62,70.89,1546,170,Average
29.36,44.46,282,157,Bad
33.63,70.91,1652,53,Average
22.3,50.63,784,66,Bad
27.45,62.16,282,154,Average
37.4,58.22,994,94,Good
30.87,79.22,629,88,Average
38.77,64.39,1505,106,Good
33.84,55.0,1745,108,Good
30.45,73.42,453,162,Average
26.72,53.1,1573,83,Excellent
27.06,81.97,462,145,Average
34.53,44.43,595,75,Bad
28.93,78.03,391,174,Bad
21.48,81.43,1781,65,Bad
21.01,85.84,644,198,Bad
35.39,46.71,832,87,Average
25.84,65.18,1828,56,Good
30.43,56.29,1955,113,Excellent
21.52,49.59,1715,192,Bad
34.71,70.73,735,93,Average
39.59,79.96,795,148,Bad
25.32,66.59,546,189,Average
38.83,88.35,1133,94,Average
30.91,49.98,313,82,Average
30.56,61.27,1868,145,Excellent
27.08,89.01,1499,154,Average
37.04,51.37,1139,123,Good
28.5,44.44,1966,173,Average
37.7,41.07,1580,140,Average
21.8,50.43,252,181,Bad
33.38,61.49,1698,83,Good
39.81,72.21,976,99,Good
24.85,45.02,971,134,Average
22.16,69.89,1634,181,Average
30.79,73.77,1442,138,Excellent
27.95,83.27,602,151,Bad
38.91,45.21,1608,193,Bad
28.72,59.9,346,70,Average
28.11,49.52,606,194,Bad
27.1,47.57,1697,150,Good
31.91,81.43,273,84,Average
38.07,79.27,1444,53,Bad
37.28,65.39,341,53,Bad
27.49,65.65,1506,86,Excellent
34.96,68.53,1901,145,Good
37.57,61.76,1271,71,Average
26.42,51.55,299,195,Average
35.31,89.65,1281,104,Average
24.35,65.63,1440,182,Average
31.09,43.19,1295,151,Average
34.18,54.42,1616,196,Average
39.54,69.68,1842,134,Good
34.47,89.15,1582,125,Average
32.93,50.97,1085,148,Good
28.3,85.06,479,119,Average
20.01,61.08,1178,59,Average
21.2,47.9,1130,75,Bad
37.86,89.2,788,124,Bad
24.2,49.83,856,178,Bad
32.64,79.24,288,125,Bad
26.7,67.08,1174,175,Good
21.0,88.6,826,53,Bad
27.79,48.79,1379,161,Average
21.75,52.23,1651,195,Average
27.63,74.33,282,66,Average
24.91,66.36,958,133,Good
27.64,68.32,1889,81,Excellent
37.04,80.76,844,125,Average
39.69,63.57,676,168,Bad
39.22,61.53,323,140,Average
34.43,84.95,1912,165,Bad
27.53,59.8,1154,60,Good
29.61,89.47,272,113,Average
22.74,75.94,531,193,Bad
34.83,73.36,1645,191,Average
31.25,64.57,1070,87,Excellent
39.12,65.33,452,75,Bad
30.21,41.06,1991,84,Good
38.77,65.3,712,118,Average
29.61,73.04,1424,175,Good
32.45,43.47,1643,70,Bad
30.6,42.1,1051,150,Good
22.65,41.24,586,117,Bad
36.46,62.17,1776,103,Good
33.53,60.06,557,125,Average
26.99,85.3,491,104,Average
21.07,57.52,1817,160,Average
39.72,70.59,1942,160,Average
38.24,57.26,1103,122,Good
22.83,76.4,1767,69,Bad
39.75,46.02,1613,96,Average
22.51,62.09,1051,80,Good
21.13,42.3,739,116,Bad
26.65,45.26,1153,135,Good
26.35,42.1,1544,88,Good
33.31,82.38,629,140,Bad
34.84,40.62,1633,113,Average
34.65,75.43,1036,96,Average
23.83,60.52,697,149,Average
21.15,86.21,252,149,Bad
38.44,43.95,758,155,Bad
38.97,45.77,978,103,Average
34.12,78.46,1572,168,Bad
39.59,72.61,814,88,Good
26.33,62.73,707,128,Good
23.2,61.29,786,87,Average
34.83,79.84,255,166,Bad
25.2,44.57,1299,189,Average
37.97,88.73,1594,90,Average
28.49,74.94,967,167,Good
28.1,84.24,1334,128,Good
21.76,69.94,1191,174,Average
33.72,54.41,1336,196,Average
39.78,48.33,1001,83,Average
27.73,41.17,463,160,Bad
31.7,83.74,782,193,Bad
24.83,79.9,469,95,Bad
29.87,52.87,1455,99,Excellent
26.26,55.91,1595,185,Good
30.08,50.69,1980,114,Excellent
20.58,58.06,1338,145,Good
29.37,79.43,1345,173,Average
29.17,51.77,916,87,Excellent
21.16,83.89,897,81,Average
30.34,64.41,1774,69,Good
22.27,60.23,577,176,Bad
24.43,69.91,376,82,Average
35.36,61.52,1060,191,Average
27.1,72.51,324,59,Average
38.6,65.26,988,191,Average
35.94,50.18,1148,74,Average
36.45,81.84,1062,163,Bad
27.27,83.03,1383,141,Good
21.81,54.81,1239,136,Good
37.91,49.11,682,172,Bad
29.69,81.64,1484,110,Good
38.75,46.0,1679,50,Bad
23.5,64.09,1280,193,Average
27.59,45.25,309,196,Bad
39.63,54.99,1827,58,Average
39.99,76.28,1126,194,Bad
22.67,68.53,1044,110,Good
22.1,44.26,636,88,Bad
27.49,49.29,896,79,Average
25.4,50.1,1808,75,Good
24.19,59.79,458,199,Bad
33.14,50.3,1325,126,Good
24.05,41.04,312,153,Bad
20.61,86.72,1441,52,Bad
25.98,63.28,1465,97,Excellent
36.74,56.86,501,68,Bad
30.95,59.67,1417,97,Excellent
29.16,85.17,1713,91,Good
29.95,77.41,848,90,Good
26.11,60.41,725,192,Average
32.23,85.29,633,131,Bad
35.36,71.49,1734,129,Good
25.72,41.48,1285,195,Average
30.22,42.27,1575,74,Average
28.76,86.74,327,56,Bad
29.75,56.08,1345,82,Excellent
21.61,63.9,1707,77,Average
30.36,56.64,1637,121,Excellent
28.37,89.91,1902,175,Average
26.73,80.1,1976,110,Good
38.24,79.61,924,60,Bad
23.45,51.53,1632,161,Average
24.39,72.86,500,152,Bad
39.11,62.65,502,166,Bad
20.67,87.65,402,185,Bad
21.67,59.7,1238,112,Good
29.56,47.25,537,82,Average
36.46,55.34,1774,110,Good
37.7,81.95,755,90,Bad
35.07,65.77,777,105,Average
38.1,51.72,850,126,Good
35.64,49.42,1899,154,Bad
23.09,85.23,541,50,Bad
31.35,71.11,857,107,Excellent
39.6,50.05,1420,139,Good
34.75,76.96,374,104,Bad
30.95,51.37,1700,146,Excellent
37.53,74.7,1524,124,Good
37.44,52.88,1540,162,Average
26.67,86.92,1279,99,Good
26.09,56.88,783,134,Good
38.79,72.41,1065,189,Average
25.69,58.92,1081,148,Excellent
28.9,47.64,1844,73,Average
28.95,44.62,1536,145,Good
25.4,79.15,1691,185,Average
39.98,45.74,1398,114,Average
31.72,45.86,849,183,Average
27.91,78.43,1759,162,Average
32.65,75.71,1081,75,Bad
25.99,82.2,1244,109,Good
32.45,82.02,722,106,Bad
38.45,65.9,1030,170,Average
29.92,60.09,1682,114,Excellent
30.38,69.36,1461,183,Good
37.4,75.32,1845,154,Bad
39.96,57.54,495,198,Bad
39.49,80.2,1386,143,Average
38.51,65.88,466,79,Bad
34.65,45.89,896,159,Bad
34.82,67.85,804,163,Average
37.51,77.39,816,149,Average
24.96,59.07,1528,148,Good
37.23,61.79,563,143,Average
28.4,49.17,1300,80,Good
31.47,41.43,681,159,Bad
23.16,62.15,762,91,Average
30.53,51.13,1891,61,Good
25.11,46.16,912,186,Average
31.61,43.1,1637,147,Good
25.73,44.52,426,106,Average
29.26,79.02,1029,61,Average
20.51,72.68,1043,109,Good
25.03,61.93,754,175,Average
28.89,64.19,1020,73,Good
36.19,48.89,1560,162,Bad
35.8,65.84,1691,179,Average
28.53,78.55,926,191,Average
20.87,71.82,756,159,Bad
32.16,69.5,596,170,Bad
31.74,76.63,332,178,Bad
34.55,82.05,1344,182,Bad
39.51,43.98,326,56,Bad
34.1,79.86,389,102,Bad
28.51,87.28,1564,141,Good
36.11,47.47,1810,160,Bad
35.99,68.35,526,94,Average
20.21,79.09,236,195,Bad
39.95,61.08,289,106,Average
25.34,41.13,1483,119,Good
31.93,53.74,283,128,Good
22.61,51.15,783,114,Average
22.1,75.59,844,78,Bad
25.05,46.93,1119,101,Good
32.63,47.95,1963,160,Bad
39.27,45.12,1177,113,Average
30.24,43.14,785,169,Bad
28.01,57.1,220,53,Average
37.18,72.72,1091,150,Good
36.23,88.16,467,69,Bad
26.63,80.49,356,85,Average
26.56,71.78,1220,124,Excellent
38.88,58.64,1416,180,Average
34.52,60.65,1235,59,Average
25.44,85.01,1107,94,Good
30.09,71.59,371,69,Average
34.25,55.16,230,74,Bad
21.26,47.95,953,106,Average
34.29,86.67,748,81,Bad
27.32,64.94,1323,142,Excellent
28.79,47.87,579,106,Average
33.03,65.57,1761,137,Good
29.12,49.1,751,151,Bad
26.35,47.35,1963,57,Average
